instruction,importance
VPSHUFB,0.0018396005467688915
VMOVSHDUP,0.0018394306622384442
VMOVMSKPD,0.0018390563533147422
VPSLLD,0.001838694199211639
VPADDSW,0.0018383262670124349
VMOVSLDUP,0.0018378985227078548
AESIMC,0.0018375415579569942
PSHUFD,0.0018370756894931929
VMPSADBW,0.0018368631339135766
MOVHLPS,0.0018350309741350479
VPSHUFHW,0.0018346488892313439
UNPCKLPD,0.0018337978648407883
VSHUFPD,0.0018336581322197006
VAESENCLAST,0.0018327905966780919
VPCMPGTD,0.0018318409204560076
VPMULLW,0.0018297428233628695
VPERMQ,0.001824486794903097
PMULUDQ,0.0018201903143992516
VPMINUW,0.001816202393924825
UNPCKHPD,0.00181453026765679
CRC32,0.0018139875231254331
VPSADBW,0.001811181968498142
PSRLQ,0.0018103447278636352
PMAXSB,0.0018093648943383993
POPCNT,0.0018071733057790206
VCMPPD,0.0018048131699882368
VPMINUD,0.0017998201663413393
VPSIGND,0.001798544177345472
VEXTRACTI128,0.0017984907664523664
VPCLMULQDQ,0.001794209092239459
PSUBUSB,0.001792425534482319
PMADDUBSW,0.0017900350440220702
PSIGNW,0.0017882336262961351
LZCNT,0.0017866817809095588
VPMAXUW,0.0017855800121717718
IMUL,0.0017838487684690503
MOVQ,0.0017832731604254773
VPCMPEQD,0.001782290918329261
VPALIGNR,0.0017818674521591963
PMOVZXWQ,0.0017814461416050583
VPADDSB,0.0017768032945469567
POPCNT,0.0017764214820928036
VPSHUFLW,0.0017762115610290851
VPCMPEQB,0.0017749565664463458
VPACKSSWB,0.001769986403200674
VEXTRACTF128,0.0017694356020607968
VINSERTI128,0.0017683550041149216
VPUNPCKLWD,0.00176713536479944
PSHUFLW,0.0017660917698929417
VMAXSS,0.0017660555016453105
VPBROADCASTD,0.001764633767683014
PDEP,0.001764451056751646
VPSRLDQ,0.0017620698903342894
VPUNPCKLDQ,0.0017613992271113801
IMUL,0.0017604627765892334
VPSRLVD,0.001759297923468505
PINSRW,0.001757738789285395
BSR,0.0017561681688309195
PMOVSXWQ,0.0017493023917299552
VPMAXSB,0.0017481485582533614
PSLLW,0.0017474065179113015
VPMULHRSW,0.0017451548029730872
VPABSW,0.0017437748586700468
MOVSLDUP,0.001743195787049053
VPERMPS,0.0017424039898890735
VPMAXUB,0.001741603349518679
VUNPCKHPD,0.001735414103871723
PMOVZXBD,0.0017345355040982405
VPAVGW,0.0017340057311765785
PABSD,0.0017322891044982381
PMAXUD,0.001725735528195662
PEXT,0.0017220493726752696
VCMPPD,0.0017189469782473636
VPSHUFB,0.0017167194661617128
VPSHUFHW,0.0017114739508517285
VUNPCKHPS,0.0017052787188410702
VPSADBW,0.0016964287749029268
PINSRB,0.0016936109837896896
PSIGND,0.0016892557070058423
VPAVGW,0.0016751192599751268
RCPPS,0.001674612712900278
MOVMSKPD,0.0016738360844306636
VPMOVSXBQ,0.0016711462330747274
VSUBPD,0.0016673403805482307
VPSRLDQ,0.0016486282801088969
PCMPEQW,0.0016428393850704667
VUNPCKLPD,0.0016415755174083483
VPCMPGTQ,0.001639573212131334
VPSRLVQ,0.001636506800900066
VPCMPEQQ,0.0016287931628167153
RCPSS,0.001628527353123209
PMAXSW,0.0016279879652681035
VPAVGB,0.001625515252064841
VPMADDUBSW,0.0016240402054667335
VPSLLQ,0.001618767313041403
LEA,0.001608662270637082
VMAXPD,0.0016011741375491551
MOVD,0.001590623099013491
PMOVSXBD,0.0015880049604550925
PADDUSW,0.0015877329795106808
VPMINSB,0.0015864643972753453
BSR,0.0015828819065090145
VPUNPCKLBW,0.0015787816592441742
VRCPPS,0.0015766116105392543
VPSRLW,0.0015758996961092314
PMOVZXBW,0.0015744277271758159
VTESTPD,0.0015740127313078425
VPSRLQ,0.001573738361050415
PMINSW,0.0015655426646091779
VPCMPGTW,0.0015655424870126044
VADDPD,0.0015602907393752017
VMOVSHDUP,0.0015586373818734323
PACKUSDW,0.0015500051021116546
VMPSADBW,0.0015406502441216426
VPMINSD,0.0015399491680032572
VPMINSW,0.0015399014652595455
VSUBSD,0.0015370480203880492
PADDSW,0.0015360651164453571
PCMPISTRI,0.0015355409686231198
PMULHRSW,0.001528653262801327
PCMPGTB,0.0015263926029953046
VSUBPD,0.0015245243582676794
VPSLLDQ,0.0015237216328419037
PCMPEQB,0.0015206731913168928
PBLENDW,0.001517173453701841
VPMINUB,0.00151227391763636
REX,0.0015024950835505115
PMINUW,0.0015019790162278993
VMOVQ,0.001498245274476594
PADDSB,0.001495758105407123
PAVGW,0.0014952752638447435
PSUBUSW,0.0014925896572736642
VADDSUBPD,0.0014901498505042166
BSR,0.0014880461040467608
VPACKUSDW,0.001486386456636915
VADDSS,0.001485153914291338
PCMPEQD,0.0014798833343701537
PUNPCKHBW,0.0014794487378311334
MOVD,0.0014782392423875492
VMINPD,0.0014775363152183705
VPACKUSWB,0.0014758872428541716
BSF,0.0014732388368362758
VCMPSD,0.0014718336075440592
CRC32,0.0014717286913482931
VCMPSS,0.0014714051683690076
PCMPISTRM,0.0014704444069984276
PACKSSDW,0.0014680772954900904
VADDSUBPD,0.0014666401771802082
CRC32,0.0014645553269562706
CRC32,0.0014630468046135173
BSF,0.0014629153563968772
PACKUSWB,0.0014623762307373765
VMAXPD,0.0014601608703006192
VSQRTSD,0.0014588920418495068
PACKSSWB,0.0014579849135376826
VMINPD,0.00145721857444475
PUNPCKHDQ,0.0014569833467119864
PMOVSXWD,0.0014502266602951393
BSF,0.0014444916653844626
VADDSD,0.001442173897175467
PSIGNB,0.0014367645433965787
REX,0.0014278666762317079
MPSADBW,0.0014123047936557213
VPADDSW,0.0014122623963328286
PADDUSB,0.0013806975211415953
